,proteins
83,CHX18_ARATH
84,OAT_BACSU
85,GCL_DROME
86,RHG06_MOUSE
87,DA1_ARATH
88,RT07_BOVIN
89,PPID_BOVIN
90,ATX10_HUMAN
91,POF13_SCHPO
92,CD40L_HUMAN
93,CLPB_MYCTU
94,CD44_HUMAN
95,PLA2A_ARATH
96,PE48A_LUCCU
97,CYSK_MYCTU
98,S26A5_HUMAN
99,PSMD9_YEAST
100,IRX7_ARATH
101,TIC32_ARATH
102,LTOR2_HUMAN
103,NMD3_YEAST
104,SDMT_APHHA
105,U2AF1_SCHPO
106,RL62_ARATH
107,TBX6_MOUSE
108,ZWILC_DROME
109,RSMH_MYCTU
110,EAT4_CAEEL
111,ESXO_MYCTU
112,ARH_MOUSE
113,ORR9_ORYSI
114,ECHM_MOUSE
115,PARC_ECOLI
116,M2K9_ARATH
117,RL14_MYCTU
118,RSP6_CAEEL
119,HNF1A_MOUSE
120,UBC4_YEAST
121,GST_ASADI
122,ADR1_MOUSE
123,RPB8B_ARATH
124,RL24_MOUSE
125,RS10_HUMAN
126,PSRC1_HUMAN
127,GBRA1_MOUSE
128,SKAP2_MOUSE
129,CC90B_HUMAN
130,SSR3_RAT
131,LSM5_HUMAN
132,DPY30_CAEEL
133,RMLCD_ARATH
134,YDG7_SCHPO
135,CXCL3_MOUSE
136,GABD1_MYCTU
137,SHKB1_MOUSE
138,ELOC_HUMAN
139,DPYL5_MOUSE
140,PPIF_RAT
141,RBOHF_ARATH
142,MCM10_HUMAN
143,CCL4_MOUSE
144,WNT11_DANRE
145,TSPO_HUMAN
146,CCDC8_HUMAN
147,MOT1_HUMAN
148,TCPQ_MOUSE
149,ERG_MOUSE
150,PAU5_YEAST
151,HAND1_MOUSE
152,GAOX1_ARATH
153,QCR8_HUMAN
154,PDGFD_MOUSE
155,SCIMP_MOUSE
156,DLDH2_PSEAE
157,1A30_HUMAN
158,GLN11_ARATH
159,HIP32_ARATH
160,GRAA_HUMAN
161,SYN2_HUMAN
162,LYAM3_HUMAN
163,CSID_ECOLI
164,U73C7_ARATH
165,STX2_RAT
166,HBA_HUMAN
167,DNJ19_ARATH
168,LYSC_HUMAN
169,PAAY_ECOLI
170,TPPC5_HUMAN
171,COBL6_ARATH
172,SAFB2_HUMAN
173,LIN2_CAEEL
174,JADE2_HUMAN
175,FAM50_DROME
176,CPNE2_HUMAN
177,ATOH7_HUMAN
178,RAN_CAEEL
179,3HAO_RAT
180,HPAT3_ARATH
181,ASF1_DROME
182,GCH1_DROME
183,BPNT1_RAT
184,GATA4_HUMAN
185,OR1Q1_HUMAN
186,PTSS1_MOUSE
187,KRT81_HUMAN
188,SDHB_RAT
189,OSR1_RAT
190,PSMD4_DROME
191,AGL16_ARATH
192,STEL5_DROME
193,POT5_ARATH
194,RBX1A_DROME
195,KCP_HALAI
196,CPNB2_ARATH
197,LONP2_RAT
198,EX7L_MYCTU
199,AAA1_MOUSE
200,P55G_RAT
201,RBM42_HUMAN
202,BIN3_MOUSE
203,MYP2_MOUSE
204,LIL31_ARATH
205,FERON_ARATH
206,LEP_HUMAN
207,OCTL_DROME
208,VPS52_YEAST
209,RPN8_SCHPO
210,SYSM_HUMAN
211,EIF3F_HUMAN
212,ATL73_ARATH
213,YCFJ_ECOLI
214,AGO3_MOUSE
215,NGEF_MOUSE
216,HCLS1_HUMAN
217,RTN2_HUMAN
218,ALF_DROME
219,UBP22_HUMAN
220,CCR2_ARATH
221,COLI_HUMAN
222,S28A1_RAT
223,ABHGA_MOUSE
224,DJ1B_ARATH
225,C74B2_ARATH
226,SPR1_ARATH
227,BKRB1_MOUSE
228,THEG_MOUSE
229,SRY1_YEAST
230,DLGP3_RAT
231,WRK21_ARATH
232,BCHM_RHOCA
233,D19L1_HUMAN
234,STL1_ARATH
235,DKC1_CHICK
236,ADXH_DROME
237,LBD20_ARATH
238,DIN7_YEAST
239,MOT10_HUMAN
240,YRR1_YEAST
241,VRK1_HUMAN
242,ETRA_SHEON
243,HMGN1_MOUSE
244,CAH3_MOUSE
245,TPM2_DROME
246,MYC2_CRODU
247,NIKO_RHOCB
248,PRPS2_HUMAN
249,PS6AA_ARATH
250,SODM_NICPL
251,HAT2_ARATH
252,HAP1_HUMAN
253,EXOC7_HUMAN
254,OFP18_ARATH
255,TPIS_CANGA
256,CISH_RAT
257,DNRD_STRS5
258,MPPB_MOUSE
259,SNAT_HUMAN
260,FACE1_CAEEL
261,LUC7L_MOUSE
262,RAA4D_ARATH
263,PURA_STRA1
264,RL15_HUMAN
265,BAKOR_MOUSE
266,UNKL_HUMAN
267,LEG9_MOUSE
268,OR6N2_HUMAN
269,GBG7_MOUSE
270,ACEA_ECOLI
271,ODBA_DICDI
272,MKK2_YEAST
273,CCNOA_XENLA
274,SIAT1_RAT
275,GDF6A_DANRE
276,DDX51_DROME
277,MYDGF_HUMAN
278,LCF2_SCHPO
279,FGF2_MOUSE
280,GEPH_RAT
281,VATD_DICDI
282,DDHD2_HUMAN
283,LFG2_MOUSE
284,MAGC2_HUMAN
285,CLCC1_HUMAN
286,NANO3_MOUSE
287,YBB9_SCHPO
288,TRET1_POLVA
289,ARGR1_YEAST
290,ARHG2_HUMAN
291,YCF4_ORYSA
292,AP3M2_HUMAN
293,YCF4_ORYSI
294,RPC9_RAT
295,LAF1_ARATH
296,SEC63_SCHPO
297,AGRE4_MOUSE
298,ARR15_ARATH
299,NBL1_YEAST
300,ZBT32_HUMAN
301,DNLI4_HUMAN
302,V1BR_HUMAN
303,MGST1_MOUSE
304,POB1_ARATH
305,IPMKB_ARATH
306,SIX3_ORYLA
307,CYB_DROME
308,AP3S2_MOUSE
309,HCN3_MOUSE
310,ANXD2_ARATH
311,LAC2_HUMAN
312,CASP3_ARATH
313,FER_RAT
314,PAL3_PETCR
315,S22A5_HUMAN
316,LCRF_YERPE
317,BHA09_HUMAN
318,COQ8B_MOUSE
319,GLT11_HUMAN
320,KLF6_RAT
321,PIP24_ARATH
322,RAN2_ARATH
323,S14L3_HUMAN
324,TCTP_HUMAN
325,Y986_MYCTU
326,ZNT6_HUMAN
327,NCMAP_RAT
328,EF2_HUMAN
329,MAP2_HUMAN
330,U78D3_ARATH
331,LIN7A_HUMAN
332,ZN330_HUMAN
333,RHB1_SCHPO
334,CNNM2_MOUSE
335,GDN_RAT
336,NFL_RAT
337,RALA_DROME
338,SRY_HUMAN
339,KA112_PARVI
340,TX101_MOUSE
341,LRK42_ARATH
342,HIUH_MOUSE
343,PFD2_BOVIN
344,H2A1_ARATH
345,PUB17_ARATH
346,CAPZB_CAEEL
347,TNFA_MOUSE
348,EDN1_HUMAN
349,CASP9_MOUSE
350,PGLR3_ARATH
351,2A5G_HUMAN
352,DBP9_SCHPO
353,MCM4A_XENLA
354,CSN5_DICDI
355,GATA3_MOUSE
356,K2C5_MOUSE
357,ILRL1_RAT
358,OPR7_ORYSJ
359,VATE1_ARATH
360,ATPO_MOUSE
361,ARI2_HUMAN
362,MK1_PALPR
363,MTFP1_MOUSE
364,TF2B_HUMAN
365,CIDEC_HUMAN
366,AUSC_EMENI
367,UPK1B_BOVIN
368,ZN788_HUMAN
369,SC6A5_HUMAN
370,CRGB_MOUSE
371,VATE2_HUMAN
372,ACSM2_MOUSE
373,OSR1_DANRE
374,LRC32_HUMAN
375,OR6C6_HUMAN
376,IST3_SCHPO
377,SPA3K_MOUSE
378,HEM1_CHICK
379,CNIH1_HUMAN
380,SOD5_CANAL
381,SCEL_MOUSE
382,CCL15_HUMAN
383,LONM_MOUSE
384,GPPMT_STRCO
385,AATC_MOUSE
386,OR2A5_HUMAN
387,PUR8_MOUSE
388,ANRA2_HUMAN
389,ADK_RAT
390,RTF1_HUMAN
391,HOT_HUMAN
392,WFS1_HUMAN
393,RZ1B_ARATH
394,IRPL1_MOUSE
395,QTRT2_SCHPO
396,ADA2B_DANRE
397,ETR2_CANTR
398,PP2AA_MOUSE
399,AXIN2_HUMAN
400,CCA23_ARATH
401,PUM6_ARATH
402,WTF12_SCHPO
403,FAR1_BRUMA
404,HRH2_HUMAN
405,ARC_RHOER
406,TBB_PLAF7
407,MED29_HUMAN
408,AIG2B_ARATH
409,C9MT_CANAL
410,MYB6_ARATH
411,OHP1_ORYSJ
412,MC6ZB_XENLA
413,COX5A_RAT
414,RL26_SCHPO
415,CKS1_ARATH
416,YH05_SCHPO
417,CD151_HUMAN
418,K2C4_HUMAN
419,GCSP_MYCTU
420,CUCS_CUCPE
421,STRA6_HUMAN
422,ASM3A_MOUSE
423,RRF2M_MOUSE
424,S27A1_RAT
425,P4KG4_ARATH
426,HMT2_ARATH
427,SYTC1_DICDI
428,TF3C5_HUMAN
429,SAS10_DROME
430,NDUA1_BOVIN
431,DHP1_CAEEL
432,MBD6_ARATH
433,LIAS_HUMAN
434,PAO2_ARATH
435,LBD24_ARATH
436,FLOT3_MEDTR
437,OSH7_YEAST
438,HM13_HUMAN
439,S15A1_RAT
440,BEST1_HUMAN
441,SAM11_MOUSE
442,S35C2_MOUSE
443,HRP1_YEAST
444,ATG4B_HUMAN
445,TAF13_ARATH
446,CLP_XANC8
447,PTN_RAT
448,MP2K7_HUMAN
449,CHDH_HUMAN
450,KLRA5_MOUSE
451,MKNK1_MOUSE
452,MXA_DANRE
453,GSDMA_HUMAN
454,COX24_YEAST
455,LPXC2_ARATH
456,AKAI1_MOUSE
457,CATS_MOUSE
458,PSD11_DROME
459,CLP_XANCP
460,GTR1_SCHPO
461,HIP27_ARATH
462,CHMP7_HUMAN
463,TFF1_MOUSE
464,ATPL_ECOLI
465,CANB2_RAT
466,DGC14_MOUSE
467,DPH1_YEAST
468,MYBN_DICDI
469,DGOD_ECOLI
470,ENT4_ARATH
471,G6PI_RAT
472,QHED_PSEPU
473,SKS2_ARATH
474,ADA1D_HUMAN
475,PORCN_MOUSE
476,IDI1_ARATH
477,GLPT1_ARATH
478,RUBY_DESVH
479,YL017_YEAST
480,ZBT24_RAT
481,ISM1_MOUSE
482,THOC1_HUMAN
483,GALR3_RAT
484,PLIN1_RAT
485,PRD12_HUMAN
486,RAP24_ARATH
487,ATG9B_MOUSE
488,CPNE6_HUMAN
489,RL27A_SCHPO
490,RN219_MOUSE
491,DOXA1_MOUSE
492,BAT1_PARRH
493,AGRF2_HUMAN
494,WOR1_CANAL
495,PRDX2_RAT
496,GALC_HUMAN
497,HBL1_CAEEL
498,LIT_ECOLI
499,LBD29_ARATH
500,PST1_YEAST
501,LCB2_YEAST
502,CXA5_RAT
503,NFKB1_RAT
504,KLF3_HUMAN
505,RT12_MOUSE
506,SPP2_ARATH
507,XIAP_XENLA
508,CLAT_MOUSE
509,AIFM2_HUMAN
510,NADE_HUMAN
511,LEG3_MOUSE
512,ERF12_ARATH
513,RU2A_YEAST
514,AF9_HUMAN
515,KLK3_HUMAN
516,ROA3_HUMAN
517,SPERI_HUMAN
518,SPB4_SCHPO
519,2A5B_HUMAN
520,USMG5_BOVIN
521,PKR2_HUMAN
522,XRCC1_HUMAN
523,TCPB_ARATH
524,TMT1_YEAST
525,CECA_DROME
526,IPYR_SOLTU
527,PLMN_BOVIN
528,HBHA_MYCTA
529,1A26_HUMAN
530,UB2L6_HUMAN
531,HXK1_RAT
532,RUVB1_YEAST
533,MTND_DROME
534,S19A3_MOUSE
535,HBHA_MYCTU
536,BEH3_ARATH
537,CASP_MOUSE
538,ATHB6_ARATH
539,GTR1_HUMAN
540,MCPT2_MOUSE
541,MTR4_ARATH
542,TERT_YEAST
543,ALP1_ARATH
544,GDAP2_HUMAN
545,IRF7_MOUSE
546,NARY_ECOLI
547,T3HPD_MOUSE
548,KAPR_ASPFU
549,TNR18_MOUSE
550,PRDM6_MOUSE
551,CSPE_ECOLI
552,KHK_HUMAN
553,OVOL1_MOUSE
554,HEM4_MOUSE
555,SYNG1_RAT
556,LMBD1_ARATH
557,SCYD_MAGO7
558,APA1_YEAST
559,LUR13_ARATH
560,IL18R_HUMAN
561,GFRA4_MOUSE
562,JPH4_MOUSE
563,KCS3_ARATH
564,H32_MOUSE
565,AGE2_YEAST
566,TYW1_SCHPO
567,STAT_DROME
568,IBR5_ARATH
569,ARD1_SCHPO
570,TRBP2_HUMAN
571,COL_HUMAN
572,RLA5_SCHPO
573,HEPC_LARCR
574,1A24_HUMAN
575,RUXE_HUMAN
576,CH60A_ARATH
577,CHAD_RAT
578,VPS54_MOUSE
579,SCHI1_MOUSE
580,CRBB2_MOUSE
581,FH2_ARATH
582,RTNLE_ARATH
583,ENPL_ARATH
584,TRI18_MUSSP
585,YJJU_ECOLI
586,ORTH2_ARATH
587,EXOC2_HUMAN
588,MYL9_MOUSE
589,ATX3_MOUSE
590,GOSR1_CRIGR
591,TAU_RAT
592,SRSF7_HUMAN
593,PPR3C_HUMAN
594,PTPRR_RAT
595,TMPS3_MOUSE
596,BOB1_ARATH
597,NCB5R_YEAST
598,LG3BP_HUMAN
599,IOC4_YEAST
600,GET3_YEAST
601,AQP8_RAT
602,BORG3_MOUSE
603,PRE1_ARATH
604,GATY_ECOLI
605,RPB9_DROME
606,GLH2_CAEEL
607,CHY1_PAGMA
608,PEX12_RAT
609,K1C15_HUMAN
610,PANE_ARATH
611,RB32A_DICDI
612,RAB38_HUMAN
613,PSAA_SYNY3
614,NFYA_HUMAN
615,HS3S6_MOUSE
616,CAS1_RICCO
617,STX5_RAT
618,ATIF2_CAEEL
619,MATRX_MEASE
620,MUP3_YEAST
621,PE2R2_RAT
622,CFAI_RAT
623,IBP2_PIG
624,JOS1_HUMAN
625,TAF9B_HUMAN
626,PPR96_ARATH
627,PHIPL_HUMAN
628,CARAA_PSERE
629,PSD1_YEAST
630,MAGT1_HUMAN
631,CISY3_ARATH
632,NOXA1_HUMAN
633,I17RC_MOUSE
634,ARL4A_MOUSE
635,RL44B_YEAST
636,LGG2_CAEEL
637,CHSP1_MOUSE
638,Y5189_ARATH
639,CLPP_ORYSJ
640,CLPP_ORYSI
641,SNX27_MOUSE
642,NUP45_SCHPO
643,CLPP_ORYSA
644,ODPB_RAT
645,PA_I34A1
646,RBG3_ARATH
647,NUFP2_HUMAN
648,Y2027_ARATH
649,PLB2_YEAST
650,PAI1_ARATH
651,IF1C_ARATH
652,RS72_ARATH
653,RIPA_CORGL
654,OCT5_ARATH
655,CLIC5_HUMAN
656,RCC1L_MOUSE
657,SYLM_ARATH
658,CALR_DROME
659,ACOT4_HUMAN
660,AB26G_ARATH
661,AAK1_HUMAN
662,NXS_SOLTU
663,TOM3_ARATH
664,Y4103_ARATH
665,COX4_SCHPO
666,WUS_ARATH
667,OR5M8_HUMAN
668,DSL1_YEAST
669,RM24_HUMAN
670,SLUR1_MOUSE
671,RFP2_SCHPO
672,RNMT_MYCTU
673,TEKT3_RAT
674,MD19A_ARATH
675,HIS4_YEAST
676,WAK1_ARATH
677,RK22_ORYNI
678,PFKAM_RAT
679,COL3_ARATH
680,BNIP2_HUMAN
681,LEA31_ARATH
682,C1QT7_MOUSE
683,MCM5_YEAST
684,ABCB6_HUMAN
685,H2AZ_YEAST
686,BUD31_YEAST
687,MOT3_RAT
688,CCD8B_ORYSJ
689,SLIK5_HUMAN
690,TRKA_MYCTU
691,TAB2_MOUSE
692,YI35_SCHPO
693,R18A1_ARATH
694,SPT8_SCHPO
695,SAU40_ARATH
696,GHXP_ECOLI
697,DAH52_LITDA
698,SPL1P_ARATH
699,FPR1_HUMAN
700,HB21_MOUSE
701,CDC16_HUMAN
702,NR4A3_RAT
703,ADF4_ARATH
704,QSOX2_ARATH
705,TBB4B_MOUSE
706,SPCS1_CANLF
707,HS3S1_HUMAN
708,TMN2_ARATH
709,ZFP6_ARATH
710,XIAP_MOUSE
711,CRF_SHEEP
712,VM1H1_BOTMA
713,CHAC1_MOUSE
714,TP4A3_HUMAN
715,YMC1_YEAST
716,GALT_HUMAN
717,IC1_RAT
718,GPN3_SCHPO
719,MTAP_SCHPO
720,HEM3_CANAL
721,OEP16_PEA
722,MCM6M_XENLA
723,DGKG_RAT
724,RPA12_YEAST
725,VKTCI_OPHHA
726,SE3AA_DANRE
727,T184A_BOVIN
728,GNAS2_HUMAN
729,5NTD_RAT
730,GRIA4_MOUSE
731,CIPK1_ARATH
732,CC151_HUMAN
733,TM10A_MOUSE
734,ISX_MOUSE
735,TSNAX_HUMAN
736,DEJP_DROME
737,KC1A_CAEEL
738,DCTA_ECOLI
739,FGF18_RAT
740,DRB4_HUMAN
741,COPT2_ORYSJ
742,GIG1_ARATH
743,FGF7_MOUSE
744,FLP03_CAEEL
745,APOD_RAT
746,1B52_HUMAN
747,NDUF8_MOUSE
748,GLNA_PSETA
749,CBX6_HUMAN
750,ACR4_ARATH
751,WTF4_SCHPO
752,PIP22_MAIZE
753,TIM22_SCHPO
754,ERD21_RAT
755,PDC1_SCHPO
756,CYSK3_CAEEL
757,LYK3_MEDTR
758,HBL2_ARATH
759,H2B3B_MOUSE
760,GBRR3_HUMAN
761,5GT_GENTR
762,MSHR_HUMAN
763,CASP2_MOUSE
764,ING5_HUMAN
765,IDH2_ARATH
766,KCNK9_HUMAN
767,KCS10_ARATH
768,TLE1_DANRE
769,CHEY_ECOLI
770,HSSA_DICDI
771,MTM1_HUMAN
772,ZN140_HUMAN
773,CABP7_MOUSE
774,ERL2_ARATH
775,BLK_MOUSE
776,CACB3_HUMAN
777,MOB2B_ARATH
778,OXYR_RAT
779,C1581_STRCO
780,RFIP3_HUMAN
781,NUP85_HUMAN
782,MSH5_ORYSJ
783,BH080_ARATH
784,CHP1_HUMAN
785,IPP2_HUMAN
786,SMSR1_DROME
787,AGK_MOUSE
788,PAX8_RAT
789,GCH1_MYCTU
790,RNR_ECOLI
791,HMGA1_MOUSE
792,LSM1_HUMAN
793,HDA1_YEAST
794,PTR6_ARATH
795,CK2N2_MOUSE
796,GTR5_MOUSE
797,ENV_HV1H2
798,ENV_HV1H3
799,KMO_AEDAE
800,PODXL_RAT
801,H90B3_HUMAN
802,CANB1_DROME
803,NAM8_YEAST
804,HGF_MOUSE
805,FCF1_YEAST
806,ALDOC_MOUSE
807,RKD2_ARATH
808,MSH5_ARATH
809,ID4_MOUSE
810,RGS20_MOUSE
811,RGS10_RAT
812,ESXN_MYCTU
813,NGN1_HUMAN
814,ACKR3_HUMAN
815,HPSE_CHICK
816,GTR1_CHICK
817,ECHP_MOUSE
818,GRF7_ARATH
819,ATS3B_ARATH
820,APR3_ARATH
821,UME6_YEAST
822,ASF1B_MOUSE
823,SODCP_SPIOL
824,NOL3_HUMAN
825,SH321_HUMAN
826,ZYX_CHICK
827,SRTD2_MOUSE
828,EI2BA_RAT
829,BDNF_MOUSE
830,MK11_MOUSE
831,CRBB3_HUMAN
832,DDX6_MOUSE
833,AURKB_DROME
834,UGPI6_ARATH
835,S2535_MOUSE
836,SRS10_HUMAN
837,A70A_DROME
838,YE44_SCHPO
839,ANKL1_MOUSE
840,STON2_HUMAN
841,QCR8_YEAST
842,AACS_HUMAN
843,EDR1_ARATH
844,EFC25_SCHPO
845,RS16_HUMAN
846,PR1F1_ARATH
847,FAD3C_ARATH
848,FHA1_TOBAC
849,NEF_HV1A2
850,BPM3_ARATH
851,IGF2_HUMAN
852,MT1E_HUMAN
853,MTMR1_HUMAN
854,RS11_DROME
855,GMPR2_HUMAN
856,IAA26_ORYSJ
857,FRDB_ECOLI
858,ANM3_HUMAN
859,PHO32_ARATH
860,RUXG_YEAST
861,CP3A4_HUMAN
862,ACDG2_METTE
863,MPP6_HUMAN
864,TECT1_MOUSE
865,RN168_MOUSE
866,TKNK_RAT
867,NDUV1_MOUSE
868,ZN431_MOUSE
869,NLE_DROME
870,SCAM3_MOUSE
871,ADIPL_MOUSE
872,UHRF1_DANRE
873,KPR1_SCHPO
874,AMHR2_MOUSE
875,CALM_DROME
876,YI31_SCHPO
877,VTI11_ARATH
878,TMEDA_CANAL
879,KRE9_CANGA
880,MLP2_DROME
881,LSM6_SCHPO
882,SSY2_ARATH
883,FKBP_CANAL
884,RSRC1_HUMAN
885,CHK1_XENLA
886,PCL9_YEAST
887,RNF4_MOUSE
888,ODPA2_ARATH
889,RPPA_STRGR
890,PPT1_MOUSE
891,C7102_ARATH
892,PETH_IDESA
893,EF1B_HUMAN
894,YMEL1_MOUSE
895,AT5G3_MOUSE
896,LMAN2_MOUSE
897,IAA19_ORYSJ
898,PSBU_SYNY3
899,SYPH_BOVIN
900,MBI3_YEAST
901,DCAF7_HUMAN
902,MED19_YEAST
903,CNPY2_HUMAN
904,ODB2_MOUSE
905,WISP2_HUMAN
906,YAFY_ECOLI
907,ATPI_ORYNI
908,RL3R1_MOUSE
909,SYMC_MOUSE
910,ORAI3_MOUSE
911,BEX3_HUMAN
912,ISG20_HUMAN
913,CAR9_ARATH
914,PDLI7_RAT
915,KC1A_RAT
916,CHPT1_HUMAN
917,BGBP_TENMO
918,GGT1_ARATH
919,NGAL_MOUSE
920,FHL2_RAT
921,TRXM2_ARATH
922,TAF1C_HUMAN
923,CK2N1_RAT
924,PTR8_ARATH
925,PESC_DROME
926,NUD19_MOUSE
927,USH1G_HUMAN
928,CTBP_DROME
929,BCAP_MOUSE
930,SPAST_DROME
931,HEMK2_HUMAN
932,NFYA2_ARATH
933,TAL2A_DROME
934,BG3_ARATH
935,IPYR4_ARATH
936,NU1C_ORYSA
937,SP17_HUMAN
938,KCNS1_MOUSE
939,ESR2_ARATH
940,ORN_DICDI
941,ABAA_ASPFU
942,THEG_HUMAN
943,ACE_DROME
944,SC6A1_RAT
945,GBF1_ARATH
946,LY6A_MOUSE
947,AAC6C_SERMA
948,DBLOH_XENLA
949,MRGRE_RAT
950,INVA_ARATH
951,IF4B2_ARATH
952,ACHE_RAT
953,MYF5_HUMAN
954,FBXW7_MOUSE
955,VWC2_MOUSE
956,TM11C_MOUSE
957,NF2L1_HUMAN
958,APOC2_HUMAN
959,HOIL1_DANRE
960,LRAD3_MOUSE
961,NEU1_RAT
962,PDCB1_ARATH
963,CTR2_RAT
964,HIF1A_HUMAN
965,RS20_DROME
966,PHF19_HUMAN
967,MED30_HUMAN
968,SERC5_MOUSE
969,PEBP1_RAT
970,O6C65_HUMAN
971,FTSZ1_ARATH
972,SOXR_ECOLI
973,GATB_HUMAN
974,CD48_HUMAN
975,CAN9_RAT
976,RL2A_YEAST
977,VIME_BOVIN
978,DLDH_MYCTU
979,TPRGL_MOUSE
980,PEMT_HUMAN
981,MFS10_HUMAN
982,TBX20_DANRE
983,EFC4A_HUMAN
984,RIP3_DICDI
985,AMT12_ARATH
986,RPGF3_RAT
987,PAN3_DROME
988,CIPK8_ARATH
989,PSA7B_ARATH
990,MLE1_CHICK
991,NOVL_STRNV
992,INSL6_DROME
993,UBXN1_HUMAN
994,FRK_RAT
995,PUR8_SCHPO
996,CBPE_MOUSE
997,CALM_SCHPO
998,FTZ22_ARATH
999,PMEL_CHICK
1000,GEP3_YEAST
1001,FIS1_RAT
1002,VTI1A_HUMAN
1003,TBG1_RAT
1004,INX1_DROME
1005,MALX3_YEAST
1006,ZAT3_ARATH
1007,OCRL_HUMAN
1008,RSPH1_MOUSE
1009,LPP2_ARATH
1010,DCTD_SCHPO
1011,ZN346_XENLA
1012,IL1A_MOUSE
1013,OLFM4_MOUSE
1014,IGHG1_HUMAN
1015,M2K7_ARATH
1016,ACO12_RAT
1017,ETHE1_MOUSE
1018,RL28_YEAST
1019,PCCA_CAEEL
1020,GBF4_ARATH
1021,DYLT1_HUMAN
1022,U76C4_ARATH
1023,RDH8_BOVIN
1024,ESPN_RAT
1025,PPRA_DEIRA
1026,RPH1_YEAST
1027,SH3G3_MOUSE
1028,GNAS_DROME
1029,CTLA4_HUMAN
1030,CEPT1_MOUSE
1031,STC_ONCMY
1032,ERO1A_MOUSE
1033,P53_HUMAN
1034,AEDO_HUMAN
1035,MYCD_RAT
1036,HIPK_CAEEL
1037,CALR2_ARATH
1038,TBPL1_XENLA
1039,SGT2_YEAST
1040,GDF8_EPICO
1041,VTI1A_RAT
1042,CAB39_MOUSE
1043,SEI2_ARATH
1044,C4D21_DROME
1045,CST1_CAEEL
1046,DPB3_SCHPO
1047,PRR5_MOUSE
1048,RGTA_RHIL3
1049,ASK1_YEAST
1050,S620A_MOUSE
1051,CCL5_RAT
1052,VA0D1_MOUSE
1053,MOS_RAT
1054,CEP41_DANRE
1055,PRX2E_ARATH
1056,ABFB_EMENI
1057,EPHA2_HUMAN
1058,TPD1_ARATH
1059,PDE9A_RAT
1060,LTOR1_MOUSE
1061,C719D_ARGME
1062,STAT3_MOUSE
1063,IDL5_ARATH
1064,CYBP_HUMAN
1065,GLPA_HUMAN
1066,NKX25_RAT
1067,SMS2_HUMAN
1068,VDAC1_BOVIN
1069,FABP5_HUMAN
1070,GAST_RAT
1071,COR1C_MOUSE
1072,TAT_HV1H2
1073,Y2267_ARATH
1074,CYR61_MOUSE
1075,SDHF1_YEAST
1076,AIPL1_HUMAN
1077,CO8A_HUMAN
1078,HHEX_XENLA
1079,FAS2_DROME
1080,GDA1_SCHPO
1081,ABI2_MOUSE
1082,SPB12_MOUSE
1083,CML23_ARATH
1084,KSRA_CAEEL
1085,ATG5_RAT
1086,TNR17_MOUSE
1087,CAMK8_ARATH
1088,1B57_HUMAN
1089,PSBN_ORYNI
1090,SUT31_ARATH
1091,CO8A1_MOUSE
1092,PMT9_ARATH
1093,FER_BRUAR
1094,PRDX5_MOUSE
1095,PP2C2_SCHPO
1096,CDF2_ARATH
1097,MAND_ENT38
1098,DDX50_HUMAN
1099,GHDC_MOUSE
1100,PLPL9_HUMAN
1101,DD19A_HUMAN
1102,GBB2_RAT
1103,TRBP2_MOUSE
1104,PMT2_YEAST
